,crim,nox,rm,dis,lstat,medv
0,0.00632,0.538,6.575,4.09,4.98,24.0
1,0.02731,0.469,6.421,4.9671,9.14,21.6
2,0.02729,0.469,7.185,4.9671,4.03,34.7
3,0.03237,0.458,6.998,6.0622,2.94,33.4
4,0.06905,0.458,7.147,6.0622,5.33,36.2
5,0.02985,0.458,6.43,6.0622,5.21,28.7
6,0.08829,0.524,6.012,5.5605,12.43,22.9
7,0.14455,0.524,6.172,5.9505,19.15,27.1
8,0.21124,0.524,5.631,6.0821,29.93,16.5
9,0.17004,0.524,6.004,6.5921,17.1,18.9
10,0.22489,0.524,6.377,6.3467,20.45,15.0
11,0.11747,0.524,6.009,6.2267,13.27,18.9
12,0.09378,0.524,5.889,5.4509,15.71,21.7
13,0.62976,0.538,5.949,4.7075,8.26,20.4
14,0.63796,0.538,6.096,4.4619,10.26,18.2
15,0.62739,0.538,5.834,4.4986,8.47,19.9
16,1.05393,0.538,5.935,4.4986,6.58,23.1
17,0.7842,0.538,5.99,4.2579,14.67,17.5
18,0.80271,0.538,5.456,3.7965,11.69,20.2
19,0.7258,0.538,5.727,3.7965,11.28,18.2
20,1.25179,0.538,5.57,3.7979,21.02,13.6
21,0.85204,0.538,5.965,4.0123,13.83,19.6
22,1.23247,0.538,6.142,3.9769,18.72,15.2
23,0.98843,0.538,5.813,4.0952,19.88,14.5
24,0.75026,0.538,5.924,4.3996,16.3,15.6
25,0.84054,0.538,5.599,4.4546,16.51,13.9
26,0.67191,0.538,5.813,4.682,14.81,16.6
27,0.95577,0.538,6.047,4.4534,17.28,14.8
28,0.77299,0.538,6.495,4.4547,12.8,18.4
29,1.00245,0.538,6.674,4.239,11.98,21.0
30,1.13081,0.538,5.713,4.233,22.6,12.7
31,1.35472,0.538,6.072,4.175,13.04,14.5
32,1.38799,0.538,5.95,3.99,27.71,13.2
33,1.15172,0.538,5.701,3.7872,18.35,13.1
34,1.61282,0.538,6.096,3.7598,20.34,13.5
35,0.06417,0.499,5.933,3.3603,9.68,18.9
36,0.09744,0.499,5.841,3.3779,11.41,20.0
37,0.08014,0.499,5.85,3.9342,8.77,21.0
38,0.17505,0.499,5.966,3.8473,10.13,24.7
39,0.02763,0.428,6.595,5.4011,4.32,30.8
40,0.03359,0.428,7.024,5.4011,1.98,34.9
41,0.12744,0.448,6.77,5.7209,4.84,26.6
42,0.1415,0.448,6.169,5.7209,5.81,25.3
43,0.15936,0.448,6.211,5.7209,7.44,24.7
44,0.12269,0.448,6.069,5.7209,9.55,21.2
45,0.17142,0.448,5.682,5.1004,10.21,19.3
46,0.18836,0.448,5.786,5.1004,14.15,20.0
47,0.22927,0.448,6.03,5.6894,18.8,16.6
48,0.25387,0.448,5.399,5.87,30.81,14.4
49,0.21977,0.448,5.602,6.0877,16.2,19.4
50,0.08873,0.439,5.963,6.8147,13.45,19.7
51,0.04337,0.439,6.115,6.8147,9.43,20.5
52,0.0536,0.439,6.511,6.8147,5.28,25.0
53,0.04981,0.439,5.998,6.8147,8.43,23.4
54,0.0136,0.41,5.888,7.3197,14.8,18.9
55,0.01311,0.403,7.249,8.6966,4.81,35.4
56,0.02055,0.41,6.383,9.1876,5.77,24.7
57,0.01432,0.411,6.816,8.3248,3.95,31.6
58,0.15445,0.453,6.145,7.8148,6.86,23.3
59,0.10328,0.453,5.927,6.932,9.22,19.6
60,0.14932,0.453,5.741,7.2254,13.15,18.7
61,0.17171,0.453,5.966,6.8185,14.44,16.0
62,0.11027,0.453,6.456,7.2255,6.73,22.2
63,0.1265,0.453,6.762,7.9809,9.5,25.0
64,0.01951,0.4161,7.104,9.2229,8.05,33.0
